index,cm_vehicles_0_make,cm_vehicles_0_model,counts,number built
337,schweizer,2 22ek,94,87
345,schweizer,prg 1,87,1
190,let,l spatz 55,76,600
338,schweizer,2 32,45,87
187,let,d 13 15 sun dancer,35,Unknown
309,schleicher,asw 20bl,34,585
60,burkhart grob,g 103 ii aero,31,~3200
290,schempp hirth,ventus b 166,26,608
67,burkhart grob,g103a,19,~3200
161,ica brasov,is 28b2,18,~400
288,schempp hirth,standard cirrus,18,807
311,schleicher,asw 27b,18,400
109,eiriavion oy,pik 20d,17,700
306,schleicher,ask 21,15,900+
258,rolladen schneider,ls 4a,14,1048
340,schweizer,233a,14,598
349,schweizer,sgs 1 26f,14,700
359,schweizer,sgs233,14,930
61,burkhart grob,g 103 twin ii,13,~3200
131,glaser dirks,dirk dg 400,12,290
289,schempp hirth,ventus 2a,11,Approximately 600 (for all Ventus models)
356,schweizer,sgs126,11,700
64,burkhart grob,g102 standard iii,10,Approximately 1200 (for all Astir models)
291,schempp hirth,ventus c,10,Approximately 600 (for all Ventus models)
346,schweizer,sc2 33a,9,598
58,burkhart grob,6103 twin astir,8,549
259,rolladen schneider,ls 6,8,407
308,schleicher,asw 19b,8,425
351,schweizer,sgs 1 35c,8,101
66,burkhart grob,g103,7,505
140,glasflugel,standard libelle,7,601
325,schleicher,t59d kestrel 19,7,164
344,schweizer,jantar 42 1,7,118
360,schweizer,sgu 2 22k,7,Unknown
